,productName,productPrice(INR),productDesc,productImg,productBuyLink
3,new balance,10499,Men 860 Black Running Shoes (M860T13),https://m.media-amazon.com/images/I/71Hh6ACaRhL._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfYXRmOjMwMDAzNzM2NTU1NDczMjo6MDo6&url=%2Fnew-balance-Black-Running-M860T13%2Fdp%2FB0CCSNVNJM%2Fref%3Dsr_1_4_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
10,Campus,1605,Mens 5g-820 Running Shoes,https://m.media-amazon.com/images/I/61HfQkk1CRL._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfYnRmOjMwMDA2NzU1NzQzMzgzMjo6MDo6&url=%2FCampus-Renegade-Beige-Running-Shoes%2Fdp%2FB08KNJBHQQ%2Fref%3Dsr_1_59_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
11,Bacca Bucci,1499,"Zeus Men Fashion Sneakers/Running Shoes with Chunky Rubber Outsole for Running, Walking, Training, Gyming, Streets, Parties & Fun",https://m.media-amazon.com/images/I/716kSfEScGS._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfYnRmOjIwMTY0MDk4MDc4Mjk4OjowOjo&url=%2FBacca-Bucci-Fashion-Sneakers-Training%2Fdp%2FB0973D8DNH%2Fref%3Dsr_1_60_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
2,HEALTH FIT,1399,Orthopedic & Diabetic Sports Shoes Breathable Soft Sole Ultra-Lightweight Running/Walking Sports Shoes for Men's 721,https://m.media-amazon.com/images/I/4146fUzacHL._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfYXRmOjMwMDEwODQ3MjY5NzczMjo6MDo6&url=%2FHEALTH-FIT-Ultra-Lightweight-721bBK-BK-9-Black-Black%2Fdp%2FB0C1TDZNX4%2Fref%3Dsr_1_3_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,Bacca Bucci,1199,Mens Trainers Athletic Walking Running Gyming Jogging Fitness Sneakers/Sports Shoes.,https://m.media-amazon.com/images/I/61bPo8isNqL._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfYXRmOjMwMDA2NjQ1NjE0MjUzMjo6MDo6&url=%2FBacca-Bucci-Trainers-Athletic-Shoes-Black%2Fdp%2FB07D14D5TL%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
0,Campus,1196,Men's North Plus Running Shoes,https://m.media-amazon.com/images/I/61NLkoMf2rL._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfYXRmOjMwMDA2NzU1NzQzOTkzMjo6MDo6&url=%2FCampus-North-Running-Shoes-Black%2Fdp%2FB08PSMQW1H%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
9,Campus,1196,Men's First Running Shoes,https://m.media-amazon.com/images/I/61+f0qntv1L._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfYnRmOjMwMDA2NzUxNzgyODkzMjo6MDo6&url=%2FCampus-Mens-Black-Mattlic-Green-Sneakers%2Fdp%2FB09MLV15Z8%2Fref%3Dsr_1_58_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-58-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
8,BRUTON,729,"Shoes, Men's Sports Shoes, Perfect Sport Shoes & Running Shoes for Men's (Pack of 2 Combo)",https://m.media-amazon.com/images/I/71gtaN8eAcL._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfYnRmOjIwMDgzNDU2Mzg5MDk4OjowOjo&url=%2FBRUTON-Sports-Perfect-Running-Numeric_6%2Fdp%2FB0B6J6BMBF%2Fref%3Dsr_1_57_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-57-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
7,Kraasa,599,ProRider Running Shoes for Men | Walking & Gym Shoes with Max Cushion Technology | Sneakers for Men,https://m.media-amazon.com/images/I/611aRiMnk8L._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfbXRmOjMwMDA0Mjk4NTY1NzgzMjo6MDo6&url=%2FKraasa-ProRider-Technology-Sneakers-DarkBlack%2Fdp%2FB0CFXY2B5R%2Fref%3Dsr_1_24_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-24-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
4,BRUTON,549,"2 Combo Exclusive Shoes, Trendy Shoes, Casual Shoes, Sport Shoes, Running Shoes for Men (Pack of 2)",https://m.media-amazon.com/images/I/71MsmLe529L._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfbXRmOjMwMDA0MTE4ODI1NzQzMjo6MDo6&url=%2FBRUTON-Exclusive-Trendy-Casual-Running%2Fdp%2FB0B4219QJT%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
5,BRUTON,419,Exclusive Trendy Sports Running Shoes | Casual Shoe | Sneakers for Men's & Boy's,https://m.media-amazon.com/images/I/613jfAH1TuL._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfbXRmOjIwMTY1NjYxMTcwNTk4OjowOjo&url=%2FBRUTON-Exclusive-Trendy-Running-Shoes%2Fdp%2FB0B2JJDLLF%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
6,BRUTON,419,Shoes for Trendy Shoes | Casual Shoes | Sports Shoes | Running Shoes,https://m.media-amazon.com/images/I/510MrJvjnQS._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfbXRmOjMwMDAzMjM1NDIxMDIzMjo6MDo6&url=%2FBRUTON-Sneakers-Running-Workout-Occasion%2Fdp%2FB099JKFYYG%2Fref%3Dsr_1_23_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-23-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
