,productName,productPrice(INR),productDesc,productImg,productBuyLink
0,new balance,10499,Men 860 Black Running Shoes (M860T13),https://m.media-amazon.com/images/I/71Hh6ACaRhL._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfYXRmOjMwMDAzNzM2NTU1NDczMjo6MDo6&url=%2Fnew-balance-Black-Running-M860T13%2Fdp%2FB0CCSNVNJM%2Fref%3Dsr_1_4_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
0,ADIDAS,3499,Men Solid Val Run Run Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18373484/2022/10/11/b39340ef-4cfd-4ca6-a5e1-3ca490e648a31665472086635-ADIDAS-Men-Black-Solid-Woven-Design-Val-Run-Running-Shoes-69-1.jpg",https://myntra.com/sports-shoes/adidas/adidas-men-black-solid-woven-design-val-run-running-shoes/18373484/buy
1,ADIDAS,3449,Men Flaze Mode Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23130792/2023/11/2/20b51ad1-7310-439f-8df2-8282d36ceca41698905594401-ADIDAS-Men-Sports-Shoes-5851698905594168-1.jpg",https://myntra.com/sports-shoes/adidas/adidas-men-woven-design-round-toe-flaze-mode-running-shoes-with-striped-detail/23130792/buy
2,Puma,2794,Men Softride Furlridep Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24195316/2023/9/5/1f39f4c4-29da-430a-9bf3-8efc5e05a5011693916896485-Puma-Softride-Furlride-Walking-Shoes-6451693916896184-1.jpg",https://myntra.com/sports-shoes/puma/puma-men-softride-furlride-walking-shoes/24195316/buy
3,Puma,2699,Better Foam Prowl Alt Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24095758/2023/11/3/7c957e76-5c78-40d9-8185-5abb80cfa0651699005239844-Betr-Fom-Prl-Slip-Molt-MetWn-Running-Shoes-3651699005239608-1.jpg",https://myntra.com/sports-shoes/puma/puma-women-better-foam-prowl-alt-metal-running-shoes/24095758/buy
4,Puma,2599,Men Escoot Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26027256/2023/11/29/9144aaba-b228-4eff-861b-3b6669541acc1701253388013-Puma-Escoot-521701253387775-1.jpg",https://myntra.com/sports-shoes/puma/puma-men-escoot-running-shoes/26027256/buy
5,Puma,1934,Men Knit IDP Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11335236/2023/2/17/5208c538-a791-40eb-aefd-19dee83eb96f1676632776096-Puma-Men-Black-Solid-Slip-On-Knit-Walking-Shoes-703167663277-12.jpg",https://myntra.com/sports-shoes/puma/puma-men-black-solid-slip-on-knit-walking-shoes/11335236/buy
6,Cultsport,1899,Unisex X1 Training Shoe,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16557792/2022/7/28/3ee058a1-09c7-41e7-b236-05265dd45ce81658999986287-Cultsport-Unisex-Grey--Orange-X1-Training-Shoes-981165899998-12.jpg",https://myntra.com/sports-shoes/cultsport/cultsport-unisex-grey--orange-x1-training-shoes/16557792/buy
7,Red Tape,1769,Men Perforations PU Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26950142/2024/1/16/b7fb425e-6d01-4329-ab87-a5d1ad7a814d1705409471868RedTapeMenBlackColourblockedPUSneakers1.jpg",https://myntra.com/casual-shoes/red+tape/red-tape-men-perforations-mid-top-lace-up-sneakers/26950142/buy
8,House of Pataudi,1677,Men Textured Formal Oxfords,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24008436/2023/7/13/8334b22f-d0c1-477b-98f6-45d1018733421689267742909Menblackpetantformaloxfordsshoes1.jpg",https://myntra.com/formal-shoes/house+of+pataudi/house-of-pataudi-men-textured-formal-oxfords/24008436/buy
9,NEEMANS,1649,Lightweight Slip-On Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23208118/2023/5/17/fe2453d1-95a8-4cfd-b585-75479e7ae1ab1684311139934NEEMANSUnisexBlackWovenDesignSlip-OnSneakers1.jpg",https://myntra.com/casual-shoes/neemans/neemans-woven-design-lightweight-slip-on-sneakers/23208118/buy
1,Campus,1605,Mens 5g-820 Running Shoes,https://m.media-amazon.com/images/I/61HfQkk1CRL._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfYnRmOjMwMDA2NzU1NzQzMzgzMjo6MDo6&url=%2FCampus-Renegade-Beige-Running-Shoes%2Fdp%2FB08KNJBHQQ%2Fref%3Dsr_1_59_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
10,Red Tape,1539,Men Mesh Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25947988/2023/11/20/d1ebf1ab-67ff-459e-ab5f-c8b5ae2fd50d1700470248737RedTapeMenBlackMeshWalkingNon-MarkingShoes1.jpg",https://myntra.com/sports-shoes/red+tape/red-tape-men-mesh-walking-shoes/25947988/buy
11,Red Tape,1539,Men Textile Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24780526/2023/9/2/e6dde8c8-3fa4-44b4-a3c1-658d8fedd3741693654318915RedTapeAthleisureSportShoesForMenComfortStyleandPerformance1.jpg",https://myntra.com/sports-shoes/red+tape/red-tape-men-flow-textile-walking-shoes/24780526/buy
12,HRX by Hrithik Roshan,1504,Men Mesh Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25857856/2023/11/11/d403da0b-4342-464b-866d-27e3bfd387ff1699668300596SportsShoes1.jpg",https://myntra.com/sports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-black-mesh-walking-sports-shoes/25857856/buy
2,Bacca Bucci,1499,"Zeus Men Fashion Sneakers/Running Shoes with Chunky Rubber Outsole for Running, Walking, Training, Gyming, Streets, Parties & Fun",https://m.media-amazon.com/images/I/716kSfEScGS._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfYnRmOjIwMTY0MDk4MDc4Mjk4OjowOjo&url=%2FBacca-Bucci-Fashion-Sneakers-Training%2Fdp%2FB0973D8DNH%2Fref%3Dsr_1_60_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-60-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
13,HRX by Hrithik Roshan,1399,Men Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24032380/2023/7/15/bfac733c-1168-4f67-bde0-1d05cf6eddb21689413552708HRXbyHrithikRoshanMenBlackMeshRunningNon-MarkingShoes1.jpg",https://myntra.com/sports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-black-mesh-running-non-marking-shoes/24032380/buy
